start_time,end_time,all_power,screen_power,screen_on_time,screen_off_time,screen_on_discharge,screen_off_discharge
1626687384717,1626688285085,4.591681432821815,0.0,0,900090,0,2
1626688285085,1626689185752,4.7493509971134245,0.0,0,900906,0,2
1626689185752,1626690084802,4.3759473814652665,0.0,0,899029,0,0
1626690084802,1626690984765,4.147994575964731,0.0,0,899994,0,1
1626690984765,1626691884803,5.71640869763246,0.0,0,899995,0,2
1626691884803,1626692784696,4.0289830051956415,0.0,0,899969,0,0
1626692784696,1626693686036,4.9325304872375,0.0,0,901045,0,2
1626693686036,1626694584229,4.865509349543572,0.0,0,898353,0,2
1626694584229,1626695485028,3.9812303404789873,0.0,0,900565,0,0
1626695485028,1626696384821,4.49843959201462,0.0,0,900017,0,2
1626696384821,1626697284703,4.20163319602193,0.0,0,900016,0,0
1626697284703,1626698185734,4.848132925606251,0.0,0,900969,0,3
1626698185734,1626699084775,4.216915014950928,0.0,0,899033,0,1
1626699084775,1626699985693,4.493924779200142,0.0,0,900923,0,1
1626699985693,1626700671208,4.81584508200217,0.0,0,685426,0,0
1626700671208,1626701785712,11.843975281006351,0.0,0,1114565,0,4
1626701785712,1626702685651,4.4233656276444435,0.0,0,900025,0,0
1626702685651,1626703585941,4.227235184063375,0.0,0,899996,0,2
1626703585941,1626704485645,4.74493544291272,0.0,0,899959,0,0
1626704485645,1626705384660,4.699984703284144,0.0,0,898979,0,3
1626705384660,1626706285615,4.359735212409987,0.0,0,901017,0,1
1626706285615,1626707185693,5.3678191539686395,0.0,0,899988,0,2
1626707185693,1626708084597,4.302680209891605,0.0,0,899006,0,0
1626708084597,1626708984908,3.9924214382688206,0.0,0,900194,0,2
1626708984908,1626709884807,5.243842984725006,0.0,0,899754,0,1
1626709884807,1626710701692,9.001112895944516,0.0,0,816992,0,1
1626710701692,1626711307580,4.352380628384708,0.0,0,606020,0,3
1626711307580,1626712213599,7.445417835934677,0.0,0,905973,0,1
1626712213599,1626713161660,5.182900787893004,0.0,0,948049,0,0
1626713161660,1626714385321,5.207695595501718,0.0,0,777866,0,2
1626714385321,1626715284613,18.403634779815548,0.0,0,1345071,0,2
1626715284613,1626716185620,4.469568158927359,0.0,0,901028,0,1
1626716185620,1626717084575,3.9805865564537726,0.0,0,898988,0,1
