policyname,packagename,mode
GLWL,org.joa.zipperplus7,1
GLWL,com.estsoft.alzip,1
GLWL,com.mnsoft.mappyobn,1
GLWL,com.ton.tarotofoz,1
GLWL,com.digitalchemy.calculator.freedecimal,1
GLWL,moris.notepad,1
GLWL,de.cellular.focus,1
GLWL,de.immowelt.android.immobiliensuche,1
GLWL,org.leo.android.dict,1
GLWL,de.spiegel.android.app.spon,1
GLWL,de.telekom.aps.wnwlite,1
GLWL,com.rtli.clipfish,1
GLWL,de.rtl2apps.you,1
GLWL,de.cellular.galileo,1
GLWL,de.meinprospekt.android,1
GLWL,com.zattoo.player,1
GLWL,com.stepstone.borowf01,1
GLWL,de.robertgering.themagicshell,1
GLWL,com.sillens.shapeupclub,1
GLWL,de.avm.android.wlanapp,1
GLWL,de.prosiebensat1digital.prosiebenmaxx,1
GLWL,de.toggo,1
GLWL,org.thoughtcrime.securesms,1
GLWL,com.cloudmosa.puffinFree,1
GLWL,com.ghisler.android.TotalCommander,1
GLWL,com.ticno.olymptrade,1
GLWL,ru.yandex.money,1
GLWL,ru.aviasales,1
GLWL,com.eabdrazakov.photomontage,1
GLWL,com.tbig.playerprotrial,1
GLWL,ru.evgostr.guestforvk,1
GLWL,com.official.electronics.lite,1
GLWL,com.zvooq.openplay,1
GLWL,ru.kinopoisk,1
GLWL,com.megogo.application,1
GLWL,eu.livesport.MyScore_ru,1
GLWL,yo.app.free,1
GLWL,com.renard.ocr,1
GLWL,com.modstudio.bikinibob,1
GLWL,com.susmumric.reshebaproject,1
GLWL,com.dartit.RTcabinet,1
GLWL,ru.mediafort.povarenok,1
GLWL,com.neverland.alreader,1
GLWL,mobi.myvk,1
GLWL,com.arriba.days364.android,1
GLWL,com.region,1
GLWL,com.adobe.air,1
GLWL,com.alphainventor.filemanager,1
GLWL,com.nzn.tdg,1
GLWL,com.devplank.masterplaca,1
GLWL,com.studiosol.player.letras,1
GLWL,br.com.mobills.consultapis,1
GLWL,com.rusdelphi.wifipassword,1
GLWL,br.com.vivo.vivoeasy,1
GLWL,br.com.mobillslabs.bolsafamilia,1
GLWL,com.defianttech.diskdigger,1
GLWL,com.infojobs.phone,1
GLWL,com.undertap.watchlivetv,1
GLWL,com.agus.brasil.calendario,1
GLWL,br.com.radios.radiosmobile.radiosnet,1
GLWL,com.appshare.shrethis.appshare,1
GLWL,elementare.frasesparastatus,1
GLWL,br.com.walmart.app,1
GLWL,com.devplank.masterfipe,1
GLWL,com.free.openinternet.vpn.proxy.unblock.websites,1
GLWL,np.com.nepalipatro,1
GLWL,com.isysway.free.alquran,1
GLWL,com.opalsapps.photoslideshowwithmusic,1
GLWL,com.free.vpn.unblock.proxy,1
GLWL,mobi.mgeek.TunnyBrowser,1
GLWL,free.unblock.pro.hotvpn,1
GLWL,com.freenet.bitbop,1
GLWL,cricketworld.com.livecricket,1
GLWL,com.bigos.androdumpper,1
GLWL,com.viejaya.guide.searchview.example,1
GLWL,org.mapapps.mapyourtown.uae,1
GLWL,de.mobileconcepts.cyberghost,1
GLWL,fr.francetv.zouzous,1
GLWL,com.kreactive.digischool.codedelaroute,1
GLWL,com.coyotesystems.android,1
GLWL,com.threebeesonline.panacloc,1
GLWL,fr.francetv.apps.info,1
GLWL,com.lesecretdupoids,1
GLWL,com.sfr.android.autodiag,1
GLWL,com.softissimo.reverso.context,1
GLWL,fr.playsoft.lefigarov3,1
GLWL,com.viamichelin.android.viamichelinmobile,1
GLWL,net.bnpparibas.mescomptes,1
GLWL,eu.livesport.FlashResultats_fr,1
GLWL,com.cic_prod.bad,1
GLWL,com.seloger.android,1
GLWL,com.lachainemeteo.androidapp,1
GLWL,com.radiosonline.radiofmfrance,1
GLWL,com.deckbattle.amirantama,1
GLWL,com.latuabancaperandroid,1
GLWL,com.telecomitalia.cubomusica,1
GLWL,it.telecomitalia.centoottantasette,1
GLWL,com.jobrapido,1
GLWL,it.ideasolutions.sgtv,1
GLWL,com.ilmeteo.android.ilmeteo2013,1
GLWL,it.telecomitalia.cubovision,1
GLWL,org.paoloconte.treni_lite,1
GLWL,com.sosscores.livefootball,1
GLWL,it.bob.codicefiscale,1
GLWL,org.reyfasoft.reinavalera1960,1
GLWL,org.jw.jwlibrary.mobile,1
GLWL,com.rodrigopontes.whatsbubbles,1
GLWL,com.ebay.vivanuncios.mx,1
GLWL,com.geomobile.tiendeo,1
GLWL,com.istudio.flashnotification,1
GLWL,com.redcoolmedia.offistar,1
GLWL,com.fineart.flash.on.call.sms,1
GLWL,com.jb.gokeyboard.theme.tmeluminouskeyboard,1
GLWL,com.conmio.televisa.canal5,1
GLWL,com.anony.wififinder,1
GLWL,com.andromo.dev380005.app422471,1
GLWL,com.onpublico.onpublico,1
GLWL,jtecs.mukidoku,1
GLWL,jp.mnoji.app,1
GLWL,name.choe.hanjahandwritingrecog,1
GLWL,com.kisaragi_millennium.karasawa,1
GLWL,xyz.tkapp.yumeijin_sindan,1
GLWL,jp.co.homes.android3,1
GLWL,jp.wifishare.townwifi,1
GLWL,jp.naver.linenews.android,1
GLWL,com.navitime.local.bus,1
GLWL,com.melodis.midomiMusicIdentifier.freemium,1
GLWL,com.alensw.PicFolder,1
GLWL,com.mbok.app,1
GLWL,com.sega.chainchronicle,1
GLWL,star.onlinerockradio,1
GLWL,com.samsung.oh,1
GLWL,com.fonts.information,1
GLWL,com.shazam.android,1
GLWL,photobucket.pbmobile.esolz.smartgallery,1
GLWL,com.samsung.travel.android,1
GLWL,com.fandango,1
GLWL,com.brilliantlabs.solitaire,1
GLWL,com.lu.funnysmsringtonesfree,1
