RecordId,cname,concept_type,parent_concepts
553,viv.time.PeriodMilliseconds,integer,
554,viv.time.ExplicitComputationFromContext,enum,
555,viv.time.ExplicitOffsetFromNow,enum,
556,viv.time.Year,integer,
557,viv.time.TwoDigitYear,integer,
558,viv.time.Season,enum,
559,viv.time.AbsoluteNamedTimeInterval,enum,
560,viv.time.Millisecond,integer,
561,viv.time.UTCInstant,integer,
562,viv.time.Day,integer,
563,viv.time.DateTimeIntervalRangeMod,enum,
564,viv.time.Hour,integer,
565,viv.time.RelativeNamedTimeInterval,enum,
566,viv.time.ExplicitDirectionFromNow,enum,
567,viv.time.NamedDate,enum,
568,viv.time.Minute,integer,
569,viv.time.DateTimePrecision,enum,
570,viv.time.PeriodNights,integer,
571,viv.time.PeriodDays,integer,
572,viv.time.LunarDay,integer,
573,viv.time.PeriodMinutes,decimal,
574,viv.time.PeriodYears,decimal,
575,viv.time.PeriodWeeks,decimal,
576,viv.time.DateTimePeriodType,enum,
577,viv.time.CalculatedDatePeriodType,enum,
578,viv.time.RelativeNamedDateInterval,enum,
579,viv.time.Nth,integer,
580,viv.time.ExplicitOffsetFromContext,enum,
581,viv.time.DatePeriodType,enum,
582,viv.time.Tense,enum,
583,viv.time.LunarMonthType,enum,
584,viv.time.DayOfWeek,enum,
585,viv.time.MonthName,enum,
586,viv.time.CalculatedFromNow,boolean,
587,viv.time.Month,integer,
588,viv.time.LunarMonthName,enum,
589,viv.time.Holiday,name,
590,viv.time.PeriodHours,decimal,
591,viv.time.FuzzyFactor,viv.time.Period,viv.time.Period
592,viv.time.EndOfDateInterval,viv.time.DateInterval,
593,viv.time.StartDate,viv.time.Date,
594,viv.time.EndingDateTimeInterval,viv.time.DateTimeInterval,
597,viv.time.StartingDateTime,viv.time.DateTime,
598,viv.time.EndTime,viv.time.Time,
599,viv.time.EndingDate,viv.time.Date,
600,viv.time.MiddleDateInterval,viv.time.DateInterval,
601,viv.time.StartDateTime,viv.time.DateTime,
602,viv.time.StartingAfterDateInterval,viv.time.DateInterval,
605,viv.time.AfterDateTime,viv.time.DateTime,
606,viv.time.EndingBeforeDate,viv.time.Date,
607,viv.time.BeforeDateTime,viv.time.DateTime,
608,viv.time.EndingDateTime,viv.time.DateTime,
609,viv.time.StartingAfterDate,viv.time.Date,
610,viv.time.StartingAfterDateTimeInterval,viv.time.DateTimeInterval,
611,viv.time.EndingBeforeDateTime,viv.time.DateTime,
614,viv.time.StartTime,viv.time.Time,
615,viv.time.EarlyDateTimeInterval,viv.time.DateTimeInterval,
616,viv.time.LateDateInterval,viv.time.DateInterval,
618,viv.time.EndingDateInterval,viv.time.DateInterval,
620,viv.time.LateDateTimeInterval,viv.time.DateTimeInterval,
624,viv.time.AfterDateInterval,viv.time.DateInterval,
625,viv.time.EndOfDateTimeInterval,viv.time.DateTimeInterval,
626,viv.time.BeforeDate,viv.time.Date,
627,viv.time.AfterDate,viv.time.Date,
628,viv.time.RecurringPeriod,viv.time.Period,
630,viv.time.StartOfDateInterval,viv.time.DateInterval,
631,viv.time.EndingBeforeDateInterval,viv.time.DateInterval,
632,viv.time.StartingDateTimeInterval,viv.time.DateTimeInterval,
633,viv.time.MiddleDateTimeInterval,viv.time.DateTimeInterval,
635,viv.time.StartingDate,viv.time.Date,
637,viv.time.EndDate,viv.time.Date,
638,viv.time.StartOfDateTimeInterval,viv.time.DateTimeInterval,
639,viv.time.StartingDateInterval,viv.time.DateInterval,
641,viv.time.AfterDateTimeInterval,viv.time.DateTimeInterval,
642,viv.time.EndDateTime,viv.time.DateTime,
644,viv.time.StartingAfterDateTime,viv.time.DateTime,
645,viv.time.ContextDate,viv.time.Date,
646,viv.time.AdjustedDateTime,viv.time.DateTime,
647,viv.time.EarlyDateInterval,viv.time.DateInterval,
649,viv.time.BeforeDateInterval,viv.time.DateInterval,
650,viv.time.ContextDateInterval,viv.time.DateInterval,
652,viv.time.EndingBeforeDateTimeInterval,viv.time.DateTimeInterval,
653,viv.time.BeforeDateTimeInterval,viv.time.DateTimeInterval,
654,viv.email.ConvertedContent,text,
655,viv.email.ReturnCode,integer,
656,viv.email.Subject,text,
657,viv.email.SendConfirmationType,boolean,viv.core.Confirmation
658,viv.email.InputSubject,text,
659,viv.email.FlagIrmOption,integer,
660,viv.email.PreviousEmailId,integer,
661,viv.email.FlagSmimeOption,integer,
662,viv.email.RecipientType,enum,
663,viv.email.InitialOfName,text,
664,viv.email.CommonInteger,integer,
665,viv.email.AddSignature,boolean,
666,viv.email.EmailId,integer,
667,viv.email.FlagPriorityOption,enum,
668,viv.email.Content,text,
669,viv.email.SearchTerm,text,viv.contact.SearchTerm
670,viv.email.FilterTerm,name,
671,viv.email.EmailName,text,
672,viv.email.ReturnMessage,text,
673,viv.email.InputContent,text,
674,viv.email.AccountKey,integer,
675,viv.email.IsEAS,boolean,
676,viv.email.EmailAddress,text,
677,viv.email.HasAttachment,boolean,
678,viv.email.ConvertedSubject,text,
679,viv.email.Signature,text,
680,viv.email.CommonString,text,
681,viv.email.SendActionType,enum,
682,viv.email.OrdinalNumber,integer,
683,viv.email.AttachmentsCount,integer,
684,viv.email.PhotoInfo,structure,viv.image.Image
685,viv.email.ComposedEmailDetail,structure,
686,viv.email.AppLaunchResultEx,structure,
687,viv.email.AppLaunchResultEx,structure,
688,viv.email.Result,structure,
689,viv.email.PreviousEmailDetail,structure,
690,viv.email.AccountInfo,structure,viv.email.AddressInfo
691,viv.email.AppLaunchResult,structure,
692,viv.email.AddressInfo,structure,
693,viv.email.RecipientInfo,structure,viv.email.AddressInfo
