id,availMem,cached,running,checkTime
512,3847416,1700241,1051278,1625929286371
513,3604424,1633184,1191276,1625944288296
514,3576588,1727574,1262322,1625958987131
515,3630464,1748277,1139697,1625974287131
516,3936500,1463287,1093358,1625989586730
517,3770984,1829191,1229056,1626004886719
518,3803860,1805130,1047812,1626020187593
519,3883536,1991051,1056000,1626035459508
520,3780928,1913859,1057704,1626049887326
521,3832000,1751945,1199110,1626065187233
522,3863384,1770262,1122782,1626080486039
523,3858356,1568737,1187849,1626095786968
524,3921908,1601761,1105868,1626110662670
525,3828292,1712937,1239287,1626125193761
526,3665040,1791499,1293500,1626139886786
527,3766768,1781429,1249262,1626155187658
528,3766112,1856206,1225291,1626170487346
529,4141344,1414857,1069099,1626185785885
530,4062332,1118027,1482197,1626200338967
531,3770840,1845313,1315900,1626214839029
532,3702032,1764029,1129542,1626229586824
533,3935152,1801319,1198849,1626244887725
534,4086388,1685945,1119356,1626260184625
535,4008832,1684261,1120217,1626275487374
536,3260244,1975083,1538162,1626289926177
537,3746968,1921902,998054,1626304587311
538,3670876,2138389,983516,1626318987457
539,3729840,2072533,993095,1626334286862
540,3642928,1847335,1431670,1626349586695
541,3665884,2280869,1002288,1626364898144
542,3713876,2278255,1109376,1626379321617
543,3554864,2460662,1008524,1626393986519
544,3591792,2425038,1067753,1626409286198
545,3625248,2454704,1019548,1626424587250
546,3566336,2472167,1015389,1626439886891
547,3888236,1737487,1034168,1626455186548
548,3859944,1967187,1231553,1626470486450
549,3572524,2316837,974993,1626485236156
550,3776312,1906473,1099122,1626500186164
551,3788624,1914681,1201422,1626515485786
552,3872680,1810936,1201422,1626530785109
553,3739096,2231981,1165254,1626545315525
554,3490608,2320655,1299552,1626560258379
555,3528196,2316917,1147405,1626574681368
556,3540720,2328161,1136020,1626589287419
557,3611480,2192630,1157890,1626604587285
558,3488904,2257017,1259574,1626619887321
559,3572940,2143216,1259574,1626635185065
560,3464100,1968855,1259143,1626650486891
561,3566176,2293300,1139915,1626665786898
562,3508344,2181118,1173316,1626681087767
563,3765572,1817931,1140023,1626696386408
564,3508576,2201834,1131038,1626711309180
565,3700264,1939572,1116498,1626726087238
566,3217336,2222306,1079539,1626740787054
567,3122908,2423696,1121095,1626755786417
568,3090252,2636104,1146322,1626770187102
569,3198732,2656833,1124309,1626785497220
570,3170280,2765118,1151341,1626800529680
571,2984632,3314922,970986,1626815187933
572,3059268,2888809,1187801,1626830486759
573,2984104,2868985,1142317,1626845787302
574,2988772,2798522,1260542,1626861097696
575,2949756,2620019,1487518,1626875925463
576,2554284,3078613,1868381,1626890364657
577,2807300,3117063,1309805,1626904886873
578,2481908,2611567,2127677,1626919293335
579,2718212,2988577,1421575,1626933903236
580,2732288,3125204,1420746,1626948987422
581,2662220,3408049,1322612,1626964287340
582,2647728,3384992,1233181,1626978748066
